survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Computer Aided Technology (CAx) Integrated Systems SR[783],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Computer Aided Technology (CAx) Integrated Systems),Computer Aided Technology (CAx) Integrated Systems,3,1,3,2,3,2,4,2.5714285714
Image Analysis SR[776],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Unbalanced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Analysis),Image Analysis,3,1,4,3,3,2,0,2.6666666667
Image Processing SR[777],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Well resourced,Working condition,Freely available,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Processing),Image Processing,3,1,3,3,4,4,4,3.1428571429
Industrial Internet of Things SR[780],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Not applicable,Not applicable,Not applicable,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,0,0,0,4,3,2,4,3.25
Industrial robots SR[784],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Not applicable,Unbalanced,Not applicable,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Industrial robots),Industrial robots,0,1,0,3,3,2,4,2.6
Real Time Information Management Systems SR[779],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,3,1,3,2,3,0,4,2.6666666667
Requirements management SR[778],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Mature,Unbalanced,Well resourced,Formal approach,Well resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,1,4,3,4,0,4,3.3333333333
Additive Manufacturing - 3D Printing [SR3189],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Additive Manufacturing - 3D Printing),Additive Manufacturing - 3D Printing,4,4,3,4,3,2,0,3.3333333333
Additive Manufacturing [SR3235],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Additive Manufacturing),Additive Manufacturing,4,4,3,3,3,0,0,3.4
Artifical general intelligence [SR3174],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Artifical general intelligence),Artifical general intelligence,4,1,3,4,0,0,0,3
Augmented and Virtual Reality (Augmented reality) [SR3184],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Augmented and Virtual Reality,Augmented and Virtual Reality (Augmented reality),Augmented and Virtual Reality (Augmented reality),3,3,3,2,3,4,0,3
Augmented Learning [SR3183],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Augmented and Virtual Reality,Augmented and Virtual Reality (Augmented Learning),Augmented Learning,3,3,3,2,3,0,0,2.8
Automated Reasoning [SR3175],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Automated Reasoning),Automated Reasoning,4,1,3,4,0,0,0,3
Autonomous vehicles [SR3176],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Autonomous vehicles),Autonomous vehicles,3,2,2,2,1,3,0,2.1666666667
Big Data Analytics [SR3186],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Under resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,3,3,2,4,3,2,0,2.8333333333
Bioinformatics [SR3207],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Under resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Neuro- and Biotechnologies,Neuro- and Biotechnologies (Bioinformatics),Bioinformatics,3,3,2,4,3,0,0,3
"Biophotonics, Nanophotonics, Microphotonics [SR3206]",CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Micro- and Nano technologies,"Micro- and Nano technologies (Biophotonics, Nanophotonics, Microphotonics)","Biophotonics, Nanophotonics, Microphotonics",3,3,3,4,3,0,4,3.3333333333
Blockchain Technology [SR3172],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Subcritical,Emerging,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Modern and Emerging Technologies,(Blockchain Technology),(Blockchain Technology) (Blockchain Technology),Blockchain Technology,1,2,2,4,1,3,4,2.4285714286
CIM systems [SR3209],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Under resourced,Formal approach,Sufficiently resourced,New requirement,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (CIM systems),CIM systems,4,1,2,3,3,3,0,2.6666666667
Cognitive Computing [SR3195],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cognitive Computing),Cognitive Computing,3,3,3,3,3,4,0,3.1666666667
Computational Intelligence [SR3177],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,4,1,3,4,3,2,0,2.8333333333
Computer Aided Design [SR3162],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,4,4,4,3,3,4,4,3.7142857143
Computer Aided Engineering [SR3163],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Engineering,4,4,4,3,3,4,4,3.7142857143
Computer Aided Process Plan [SR3164],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Process Plan,4,4,4,3,3,4,4,3.7142857143
Computer Aided Technology (CAx) Integrated Systems [SR3210],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Computer Aided Technology (CAx) Integrated Systems),Computer Aided Technology (CAx) Integrated Systems,4,4,3,3,3,4,0,3.5
Concurrent engineering [SR3238],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Emerging,Emerging,Under resourced,Formal approach,Sufficiently resourced,New requirement,Not applicable,Product and Process Design & Development,Tools and Techniques,Tools and Techniques (Concurrent engineering),Concurrent engineering,2,2,2,3,3,3,0,2.5
Cyber-Physical Systems [SR3196],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber-Physical Systems),Cyber-Physical Systems,4,4,4,4,3,2,0,3.5
Decision Support Technologies [SR3187],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Decision Support Technologies),Decision Support Technologies,4,4,3,4,0,0,0,3.75
Design for Certification / Compliance [SR3223],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,4,4,3,3,3,0,0,3.4
Design for Certification / Compliance SR[824],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Developing,Well resourced,Formal approach,Well resourced,Working condition,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,4,3,4,3,4,4,3,3.5714285714
Design for Cost [SR3224],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Cost),Design for Cost,4,4,3,3,3,0,0,3.4
Design for Electromagnetic Interference & Compatibility (EMI & EMC) [SR3225],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Electromagnetic Interference & Compatibility (EMI & EMC)),Design for Electromagnetic Interference & Compatibility (EMI & EMC),4,4,3,3,3,0,0,3.4
Design for Environment (Sustainability) [SR3226],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Environment (Sustainability)),Design for Environment (Sustainability),4,4,3,3,3,0,0,3.4
Design for Ergonomics/ Human Factors [SR3227],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Ergonomics/ Human Factors),Design for Ergonomics/ Human Factors,4,4,3,3,3,0,0,3.4
Design for Life-cycle-cost-and-time [SR3228],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Life-cycle-cost-and-time),Design for Life-cycle-cost-and-time,4,4,3,3,3,0,0,3.4
Design for Maintainability [SR3229],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,4,4,3,3,3,0,0,3.4
Design for Manufacturability [SR3230],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Manufacturability),Design for Manufacturability,4,4,3,3,3,0,0,3.4
Design for Reliability [SR3231],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Reliability),Design for Reliability,4,4,3,3,3,0,0,3.4
Design for Safety [SR3232],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Safety),Design for Safety,4,4,3,3,3,0,0,3.4
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) [SR3233]",CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,4,3,3,3,0,0,3.4
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[825]",CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Well resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,3,3,3,4,0,0,3.2
Digital Health Services [SR3199],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Digital Health Services),Digital Health Services,4,4,3,4,3,3,4,3.5714285714
Digital Signals and Image Processing [SR3200],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Digital Signals and Image Processing),Digital Signals and Image Processing,4,4,3,4,3,4,4,3.7142857143
Digital twins [SR3185],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Sufficiently resourced,New requirement,Not applicable,Modern and Emerging Technologies,Augmented and Virtual Reality,Augmented and Virtual Reality (Digital twins),Digital twins,3,3,3,2,3,3,0,2.8333333333
Digitalization [SR3201],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Digitalization),Digitalization,4,4,3,4,3,4,4,3.7142857143
Drones [SR3211],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,Working condition,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Drones),Drones,3,3,3,4,1,4,0,3
Electro-optical Engineering [SR3214],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Sensor Engineering,Sensor Engineering (Electro-optical Engineering),Electro-optical Engineering,3,3,3,4,3,4,0,3.3333333333
Energy Management Systems [SR3151],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Energy Management Systems),Energy Management Systems,3,4,3,3,3,0,4,3.3333333333
Energy System Optimisation [SR3152],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Energy System Optimisation),Energy System Optimisation,3,4,3,3,3,0,4,3.3333333333
Entertainment robotics [SR3212],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Entertainment robotics),Entertainment robotics,4,4,3,4,3,4,0,3.6666666667
Facilities Layout [SR3155],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Under resourced,Formal approach,Sufficiently resourced,New requirement,Freely available,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Layout,3,3,2,3,3,3,4,3
Facilities Location [SR3156],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Under resourced,Formal approach,Sufficiently resourced,New requirement,Freely available,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Location,3,3,2,3,3,3,4,3
Facilities Sizing [SR3157],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Under resourced,Formal approach,Sufficiently resourced,New requirement,Freely available,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Sizing,3,3,2,3,3,3,4,3
Factory layout [SR3169],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Factory layout),Factory layout,4,1,2,4,1,3,4,2.7142857143
Flexible Manufacturing [SR3171],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Production Systems,Flexible Manufacturing,4,1,2,4,1,3,4,2.7142857143
Grid Computing [SR3193],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Subcritical,Emerging,Not resourced,Informal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Grid Technology,Grid Technology (Grid Computing),Grid Computing,1,2,1,2,0,0,0,1.5
Healthmonitoring technologies [SR3208],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Neuro- and Biotechnologies,Neuro- and Biotechnologies (Healthmonitoring technologies),Healthmonitoring technologies,4,4,4,4,3,0,0,3.8
Highly Accelerated Life Testing (HALT) [SR3216],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Subcritical,Emerging,Not resourced,Formal approach,Under resourced,New requirement,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Highly Accelerated Life Testing (HALT)),Highly Accelerated Life Testing (HALT),1,2,1,3,1,3,0,1.8333333333
Highly Accelerated Stress Screening (HASS) [SR3217],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Subcritical,Emerging,Not resourced,Formal approach,Under resourced,New requirement,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Highly Accelerated Stress Screening (HASS)),Highly Accelerated Stress Screening (HASS),1,2,1,3,1,3,0,1.8333333333
Image Analysis [SR3178],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Analysis),Image Analysis,4,1,3,4,3,4,0,3.1666666667
Image Processing [SR3179],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Processing),Image Processing,4,1,3,4,3,3,0,3
Industrial Big Data [SR3197],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,3,3,3,4,3,3,0,3.1666666667
Industrial Internet of Things [SR3198],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,3,3,3,3,1,3,0,2.6666666667
Industrial robots [SR3213],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Industrial robots),Industrial robots,4,4,3,4,3,4,0,3.6666666667
Industrie 4.0 [SR3190],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Industrie 4.0),Industrie 4.0,4,1,3,4,1,3,0,2.6666666667
Industry 4.0 (Cloud Computing) [SR3194],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Developing,Developing,Not resourced,Informal approach,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cloud Computing),Industry 4.0 (Cloud Computing),3,3,1,2,3,4,0,2.6666666667
Injection Moulding [SR3161],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Manufacturing Processes & Systems,Manufacturing Processes,Polymer Processing,Injection Moulding,4,4,3,4,1,3,4,3.2857142857
Intelligent Maintenance Systems [SR3180],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Intelligent Maintenance Systems),Intelligent Maintenance Systems,4,1,3,4,3,0,0,3
Intelligent manufacturing systems equipment [SR3170],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Intelligent manufacturing systems equipment),Intelligent manufacturing systems equipment,4,4,3,4,3,4,4,3.7142857143
Interoperability Technology [SR3173],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,4,4,3,3,3,4,4,3.5714285714
IoT software and solutions - Information of everything [SR3204],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,IoT,IoT (IoT software and solutions - Information of everything),IoT software and solutions - Information of everything,4,4,3,3,3,0,4,3.5
IoT software and solutions - Internet of things [SR3205],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,IoT,IoT (IoT software and solutions - Internet of things),IoT software and solutions - Internet of things,4,4,3,3,3,0,4,3.5
Life Cycle Analysis [SR3218],CSIR,MSM,Mechatronics & Micro Manufacturing,Medical Devices - Synoptics,PROUX,RGL,Subcritical,Emerging,Under resourced,Formal approach,Under resourced,New requirement,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Life Cycle Analysis),Life Cycle Analysis,1,2,2,3,1,3,0,2
