survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
FMECA SR[127],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Developing,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (FMECA),FMECA,2,3,2,4,1,3,4,2.7142857143
Function analysis SR[128],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,3,1,2,3,1,3,3,2.2857142857
Industrial Internet of Things SR[136],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Emerging,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,2,2,2,4,1,3,4,2.5714285714
Operations research tools and techniques SR[138],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Industrial Engineering,Industrial Engineering (Operations Research and Analysis),Operations Research and Analysis,Operations research tools and techniques,2,1,2,4,1,3,3,2.2857142857
"Reliability engineering techniques, testing and tools SR[139]",CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Freely available,Industrial Engineering,Industrial Engineering (Quality and Reliability Engineering),Quality and Reliability Engineering,"Reliability engineering techniques, testing and tools",2,1,2,4,1,2,4,2.2857142857
Requirements management SR[129],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,3,3,2,3,1,2,3,2.4285714286
Systems engineering (SE) - Model-based SR[130],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Developing,Emerging,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,3,2,2,3,1,2,3,2.2857142857
Trade-off analysis SR[131],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Trade-off analysis),Trade-off analysis,3,1,2,4,1,3,4,2.5714285714
Concept development SR[551],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,1,3,2,3,0,4,2.8333333333
FEA SR[549],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (FEA),FEA,3,1,3,2,3,0,4,2.6666666667
Function analysis SR[552],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,3,1,2,2,3,0,4,2.5
Industrial Internet of Things SR[557],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,3,3,3,3,3,0,4,3.1666666667
Jobbing Production SR[561],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Production Systems,Jobbing Production,3,1,2,2,1,4,4,2.4285714286
Mechanical machining SR[560],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Developing,Not applicable,Informal approach,Under resourced,Needs upgrade,Freely available,Manufacturing Processes & Systems,Manufacturing Processes,Material removal,Mechanical machining,3,3,0,2,1,2,4,2.5
Novel manufacturing methods SR[556],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Novel manufacturing methods),Novel manufacturing methods,3,3,2,2,1,0,4,2.5
Prototyping (virtual/digital & physical) SR[550],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Mature,Developing,Not applicable,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Prototyping (virtual/digital & physical)),Prototyping (virtual/digital & physical),4,3,0,2,3,0,4,3.2
Requirements management SR[553],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Unbalanced,Not resourced,Not applicable,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,3,1,1,0,3,0,4,2.4
Soldering and brazing SR[558],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Mature,Unbalanced,Not applicable,Informal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Processes,Joining,Soldering and brazing,4,1,0,2,3,4,4,3
System design SR[555],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,4,1,3,2,3,4,4,3
Systems engineering (SE) - Model-based SR[554],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,3,1,3,2,3,0,4,2.6666666667
Welding - Arc SR[559],CSIR,DPSS,Landward Sciences,Applied Technologies,JSTIPINOVICH,RGL,Mature,Well resourced,Not applicable,Informal approach,Under resourced,Not applicable,Not applicable,Manufacturing Processes & Systems,Manufacturing Processes,Joining,Welding - Arc,4,4,0,2,1,0,0,2.75
Computational Fluid Analysis SR[159],CSIR,DPSS,Landward Sciences,Firepower,CMAHLASE,RGL,Developing,Developing,Not resourced,Informal approach,Under resourced,New requirement,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Computational Fluid Analysis),Computational Fluid Analysis,3,3,1,2,1,3,3,2.2857142857
"Mechanical, structural, physical and geometrical characterization SR[160]",CSIR,DPSS,Landward Sciences,Firepower,CMAHLASE,RGL,Mature,Unbalanced,Under resourced,Informal approach,Under resourced,Working condition,Controlled,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Mechanical, structural, physical and geometrical characterization)","Mechanical, structural, physical and geometrical characterization",4,1,2,2,1,4,3,2.4285714286
"Modelling, Simulation and Gaming SR[161]",CSIR,DPSS,Landward Sciences,Firepower,CMAHLASE,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",4,1,3,2,1,2,3,2.2857142857
New Energetic Materials SR[162],CSIR,DPSS,Landward Sciences,Firepower,CMAHLASE,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Materials Engineering,Structural Materials,Structural Materials  (New Energetic Materials),New Energetic Materials,3,3,3,2,1,2,3,2.4285714286
Customer focussed practices (needs/requirements identification and translation to appropriate market/product strategy) SR[818],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Customer focussed practices (needs/requirements identification and translation to appropriate market/product strategy),4,4,4,3,4,0,4,3.8333333333
Data analysis SR[815],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Developing,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,3,1,2,2,3,0,4,2.5
Decision Support Technologies SR[817],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Decision Support,Decision Support (Decision Support Technologies),Decision Support Technologies,4,1,3,3,3,0,4,3
Engineering innovation SR[822],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Working condition,Freely available,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,3,1,2,2,1,4,4,2.4285714286
"Modelling, Simulation and Gaming SR[819]",CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",2,1,2,2,3,0,4,2.3333333333
Operations research tools and techniques SR[820],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Operations Research and Analysis),Operations Research and Analysis,Operations research tools and techniques,4,1,3,3,3,0,4,3
Systems engineering (SE) - Model-based SR[816],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,3,1,3,3,3,0,4,2.8333333333
Techno-economic Feasibility studies (Pre-feasibility Studies) SR[821],CSIR,DPSS,Landward Sciences,Integrated Land Systems,PRAMALOKO,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Techno-economic Feasibility studies (Pre-feasibility Studies),4,1,3,3,3,0,4,3
"Mechanical, structural, physical and geometrical characterization SR[828]",CSIR,DPSS,Landward Sciences,Protection and Survivability,RAHMED,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Working condition,Controlled,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Mechanical, structural, physical and geometrical characterization)","Mechanical, structural, physical and geometrical characterization",4,1,3,2,1,4,3,2.5714285714
Analysis and V&V (Augmented Reality) SR[731],CSIR,DPSS,Optronic Sensor Systems,Image Processing,NAUSMEIER,RGL,Emerging,Emerging,Not applicable,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Augmented Reality),Analysis and V&V (Augmented Reality),2,2,0,2,1,0,0,1.75
Analysis and V&V (Virtual Reality) SR[733],CSIR,DPSS,Optronic Sensor Systems,Image Processing,NAUSMEIER,RGL,Emerging,Emerging,Not applicable,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Virtual Reality),Analysis and V&V (Virtual Reality),2,2,0,2,1,0,0,1.75
Digital Signals and Image Processing SR[734],CSIR,DPSS,Optronic Sensor Systems,Image Processing,NAUSMEIER,RGL,Developing,Developing,Not applicable,Informal approach,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Informatics,Informatics (Digital Signals and Image Processing),Digital Signals and Image Processing,3,3,0,2,3,0,0,2.75
Modelling and Simulation SR[732],CSIR,DPSS,Optronic Sensor Systems,Image Processing,NAUSMEIER,RGL,Developing,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,3,3,0,2,0,0,0,2.6666666667
Computer Aided Design SR[606],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Mature,Well resourced,Well resourced,Not applicable,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,4,4,4,0,3,4,4,3.8333333333
Electronic materials (Ferrites/Semiconductors) SR[604],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Well resourced,Working condition,Freely available,Materials Engineering,Ceramics,Ceramics  (Electronic materials (Ferrites/Semiconductors)),Electronic materials (Ferrites/Semiconductors),3,3,3,3,4,4,4,3.4285714286
Image Processing SR[603],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Mature,Emerging,Sufficiently resourced,Not applicable,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Processing),Image Processing,4,2,3,0,3,4,0,3.2
Modelling and Assessment SR[602],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Developing,Developing,Sufficiently resourced,Not applicable,Well resourced,Working condition,Not applicable,Environment and Natural Resources,Air Quality,Air Quality (Modelling and Assessment),Modelling and Assessment,3,3,3,0,4,4,0,3.4
Project management tools and techniques SR[607],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Emerging,Developing,Sufficiently resourced,Not applicable,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Project management tools and techniques,2,3,3,0,0,0,0,2.6666666667
Requirements management SR[605],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Emerging,Emerging,Sufficiently resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,2,2,3,2,0,0,0,2.25
Technical feasibility studies SR[608],CSIR,DPSS,Optronic Sensor Systems,Infrared Electronic Warfare,KGOPAUL,RGL,Subcritical,Unbalanced,Under resourced,Not applicable,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,1,1,2,0,0,0,0,1.3333333333
Concept development SR[454],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Well resourced,Sufficiently resourced,Informal approach,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,4,3,2,3,2,3,3
Design for Cost SR[458],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Developing,Under resourced,Informal approach,Not applicable,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Cost),Design for Cost,3,3,2,2,0,0,4,2.8
Design for Electromagnetic Interference & Compatibility (EMI & EMC) SR[459],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Electromagnetic Interference & Compatibility (EMI & EMC)),Design for Electromagnetic Interference & Compatibility (EMI & EMC),3,3,2,2,1,0,4,2.5
Design for Maintainability SR[460],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,3,3,2,2,1,0,3,2.3333333333
Design for Reliability SR[461],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Reliability),Design for Reliability,3,3,2,2,1,0,3,2.3333333333
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[462]",CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Well resourced,Sufficiently resourced,Informal approach,Sufficiently resourced,Old,Controlled,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,4,3,2,3,1,3,2.8571428571
"Full Scale, Field Evaluation SR[450]",CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Unbalanced,Under resourced,Informal approach,Under resourced,Old,Freely available,Product and Process Design & Development,Analysis and V&V,"Analysis and V&V (Full Scale, Field Evaluation)","Full Scale, Field Evaluation",4,1,2,2,1,1,4,2.1428571429
Function analysis SR[455],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,3,3,2,2,1,0,3,2.3333333333
Multi-Physics Analysis SR[451],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Multi-Physics Analysis),Multi-Physics Analysis,2,2,2,2,1,0,3,2
Prototyping (virtual/digital & physical) SR[452],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Old,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Prototyping (virtual/digital & physical)),Prototyping (virtual/digital & physical),4,1,3,2,1,1,3,2.1428571429
Requirements management SR[456],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,3,1,3,2,3,0,0,2.4
Reverse engineering SR[464],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Old,Controlled,Product and Process Design & Development,Tools and Techniques,Tools and Techniques (Reverse engineering),Reverse engineering,4,1,2,2,3,1,3,2.2857142857
System design SR[463],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Well resourced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,4,4,3,2,1,2,3,2.7142857143
Tolerance Analysis SR[453],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Tolerance Analysis),Tolerance Analysis,4,1,3,2,3,0,4,2.8333333333
Trade-off analysis SR[457],CSIR,DPSS,Optronic Sensor Systems,Opto Mechatronics,HTHERON,RGL,Mature,Unbalanced,Under resourced,Informal approach,Under resourced,Working condition,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Trade-off analysis),Trade-off analysis,4,1,2,2,1,4,3,2.4285714286
Concept development SR[194],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Developing,Sufficiently resourced,Not applicable,Sufficiently resourced,Needs upgrade,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,3,3,0,3,2,4,3.1666666667
Design for Certification / Compliance SR[200],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,4,1,3,3,3,0,0,2.8
Design for Cost SR[201],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Cost),Design for Cost,3,3,0,2,0,0,0,2.6666666667
Design for Electromagnetic Interference & Compatibility (EMI & EMC) SR[202],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Developing,Under resourced,Formal approach,Under resourced,Old,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Electromagnetic Interference & Compatibility (EMI & EMC)),Design for Electromagnetic Interference & Compatibility (EMI & EMC),4,3,2,3,1,1,4,2.5714285714
Design for Ergonomics/ Human Factors SR[203],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Ergonomics/ Human Factors),Design for Ergonomics/ Human Factors,3,3,2,2,0,0,0,2.5
Design for Life-cycle-cost-and-time SR[204],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Life-cycle-cost-and-time),Design for Life-cycle-cost-and-time,3,3,2,3,0,0,0,2.75
Design for Maintainability SR[205],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,3,3,2,2,1,0,0,2.2
Design for Manufacturability SR[206],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Formal approach,Not applicable,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Manufacturability),Design for Manufacturability,3,3,2,3,0,2,4,2.8333333333
Design for Reliability SR[207],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,Old,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Reliability),Design for Reliability,2,2,2,2,1,1,4,2
Design for Safety SR[208],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Emerging,Under resourced,Formal approach,Under resourced,New requirement,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Safety),Design for Safety,3,2,2,3,1,3,4,2.5714285714
Design for Test SR[209],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,New requirement,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Test),Design for Test,4,1,3,3,0,3,4,3
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[210]",CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,1,3,3,3,2,4,2.8571428571
Engineering innovation SR[213],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,4,1,3,2,3,2,3,2.5714285714
Feasibility SR[195],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,4,3,3,3,3,0,4,3.3333333333
"Full Scale, Field Evaluation SR[188]",CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Under resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Product and Process Design & Development,Analysis and V&V,"Analysis and V&V (Full Scale, Field Evaluation)","Full Scale, Field Evaluation",4,1,2,3,3,4,3,2.8571428571
Function analysis SR[196],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Not applicable,Not applicable,Not applicable,Formal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,0,0,0,3,3,0,4,3.3333333333
Modelling and Simulation SR[189],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,4,4,3,3,3,4,4,3.5714285714
Non-Destructive Inspection / Test SR[190],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Unbalanced,Under resourced,Formal approach,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Non-Destructive Inspection / Test),Non-Destructive Inspection / Test,4,1,2,3,3,2,3,2.5714285714
Prototyping (virtual/digital & physical) SR[191],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Prototyping (virtual/digital & physical)),Prototyping (virtual/digital & physical),3,3,2,2,1,3,4,2.5714285714
Requirements management SR[197],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,3,3,3,3,0,4,3.3333333333
Situational Awareness SR[212],CSIR,DPSS,Radar & EW Systems,Experimental Radar Systems,CVZYL,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,3,3,2,2,1,2,3,2.2857142857
