survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Competitiveness improvement (Strategy Development) SR[83],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Not applicable,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Strategy Development),0,4,0,3,0,0,0,3.5
Competitiveness improvement assessments SR[76],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement assessments,4,4,4,3,0,0,0,3.75
Deal structuring SR[114],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Deal structuring,2,2,0,3,0,0,0,2.3333333333
Due diligence assessments SR[103],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Due diligence assessments,3,3,3,3,0,0,0,3
Due diligence studies (existing enterprises) (Strategy Development) SR[115],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Due diligence studies (existing enterprises) (Strategy Development),4,4,0,3,0,0,0,3.6666666667
Economic development opportunity identification SR[121],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Working condition,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Economic development opportunity identification,4,1,4,3,0,4,0,3.2
Enterprise business support SR[91],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Not applicable,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise business support,4,0,0,2,0,0,0,3
Enterprise legal support SR[92],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise legal support,2,2,0,2,0,0,0,2
Enterprise market support SR[93],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise market support,3,3,0,2,0,0,0,2.6666666667
Enterprise social support SR[94],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise social support,2,2,0,2,0,0,0,2
Enterprise technical support SR[95],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise technical support,4,4,0,3,0,0,0,3.6666666667
ESP Programme design SR[96],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Emerging,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Enterprise Development Programmes (ESP),ESP Programme design,3,2,2,3,0,0,0,2.5
Export readiness assessments SR[77],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Export readiness assessments,4,4,3,3,0,0,0,3.5
Feasibility studies SR[104],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Feasibility studies,4,4,4,3,0,0,0,3.75
Financial modelling SR[116],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Developing,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Financial modelling,4,3,4,3,0,0,0,3.5
Funding identification and applications SR[108],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Funding identification and applications,2,2,0,3,0,0,0,2.3333333333
Identification of opportunities to strengthen the enabling environment SR[124],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Identification of opportunities to strengthen the enabling environment,4,4,0,3,0,0,0,3.6666666667
Identification of opportunities to strengthen the sector SR[125],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Identification of opportunities to strengthen the sector,4,4,3,3,0,0,0,3.5
Incentive identification and applications SR[109],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Incentive identification and applications,2,2,0,3,0,0,0,2.3333333333
Incubator development SR[97],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator development,4,4,0,2,0,0,0,3.3333333333
Incubator establishment SR[98],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator establishment,4,4,4,3,0,0,0,3.75
Incubator opportunity assessment SR[99],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator opportunity assessment,4,4,0,3,0,0,0,3.6666666667
Incubator Planning SR[100],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator Planning,4,1,0,3,0,0,0,2.6666666667
Industrial parks and estates (IP&E) (Pre-feasibility Studies) SR[105],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Industrial parks and estates (IP&E) (Pre-feasibility Studies),4,4,4,3,0,0,0,3.75
Infrastructure development opportunity identification SR[122],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Infrastructure development opportunity identification,4,1,3,3,0,0,0,2.75
Lean manufacturing SR[78],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Lean manufacturing,2,2,0,2,0,0,0,2
LED Internship programme SR[73],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED practitioner training,LED Internship programme,2,3,3,3,0,0,0,2.75
LED Program design SR[70],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED Program design,3,3,3,3,0,0,0,3
LED program development SR[71],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED program development,3,2,0,2,0,0,0,2.3333333333
LED programme management SR[72],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED programme management,4,4,3,3,0,0,0,3.5
LED Training and mentoring SR[74],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED practitioner training,LED Training and mentoring,2,3,3,3,0,0,0,2.75
Logistics and supply chain development SR[79],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Logistics and supply chain development,3,3,2,3,0,0,0,2.75
"Management and administrative systems, processes and procedures SR[86]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Management and administrative systems, processes and procedures",3,3,3,2,0,0,0,2.75
Market development and linkages SR[87],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Market development and linkages,4,3,0,2,0,0,0,3
Market Feasibility studies SR[117],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Market Feasibility studies,3,3,4,3,0,0,0,3.25
"Operational and production systems, processes and procedures SR[88]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Operational and production systems, processes and procedures",4,1,0,3,0,0,0,2.6666666667
Performance management systems SR[80],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Performance management systems,4,1,3,3,0,0,0,2.75
Pilot production SR[89],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Pilot production,4,4,0,3,0,0,0,3.6666666667
"Production equipment procurement, installation and commissioning SR[90]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Production equipment procurement, installation and commissioning",4,1,0,3,0,0,0,2.6666666667
Programme design SR[101],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Not applicable,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Programme design,4,0,0,3,0,0,0,3.5
Quality management systems SR[82],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Quality management systems,4,1,0,3,0,0,0,2.6666666667
Sector based economic opportunity identification SR[126],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Sector based economic opportunity identification,4,4,3,3,0,0,0,3.5
Social development opportunity identification SR[123],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Social development opportunity identification,4,4,0,2,0,0,0,3.3333333333
Technical feasibility studies SR[119],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,4,4,4,3,0,0,0,3.75
Techno-economic Feasibility studies (Pre-feasibility Studies) SR[118],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Techno-economic Feasibility studies (Pre-feasibility Studies),4,4,4,3,0,0,0,3.75
Turnaround strategy development SR[106],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Turnaround strategy development,4,1,3,3,0,0,0,2.75
Viability assessments SR[120],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Viability assessments,4,3,3,3,0,0,0,3.25
Analysis and reporting SR[1006],CSIR,IMPLEMENTATION UNIT,Environmental Labs,Laboratories,YKULA,RGL,Not applicable,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Environment and Natural Resources,Quality Management,Quality Management (Analysis and reporting),Analysis and reporting,0,3,2,3,1,2,3,2.3333333333
Testing of environmental samples [2613],CSIR,IMPLEMENTATION UNIT,Environmental Labs,Laboratories,YKULA,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Testing of environmental samples),Testing of environmental samples,3,3,3,3,1,2,3,2.5714285714
Anthropometric principles in workplace and equipment design SR[859],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Subcritical,Emerging,Under resourced,Formal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Anthropometric principles in workplace and equipment design,1,2,2,3,1,0,0,1.8
Design for Certification / Compliance [SR3028],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Subcritical,Developing,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,1,3,1,2,1,0,0,1.6
Design for Ergonomics/ Human Factors [SR3029],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Subcritical,Developing,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Ergonomics/ Human Factors),Design for Ergonomics/ Human Factors,1,3,1,2,1,0,0,1.6
Design for standing and sitting SR[860],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Design for standing and sitting,2,2,1,2,0,0,0,1.75
Design of manual handling tasks SR[861],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Formal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Design of manual handling tasks,2,2,1,3,0,0,0,2
Design of repetitive tasks SR[862],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Formal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Design of repetitive tasks,2,2,1,3,0,0,0,2
Design of the thermal environment SR[863],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Subcritical,Emerging,Under resourced,Informal approach,Sufficiently resourced,Old,Freely available,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Design of the thermal environment,1,2,2,2,3,1,4,2.1428571429
Displays and controls SR[864],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Displays and controls,2,2,1,2,1,0,0,1.6
"Human-machine interaction, human error and safety SR[866]",CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,"Human-machine interaction, human error and safety",2,2,1,2,0,0,0,1.75
Human health risk and impact assessment SR[858],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Air Quality,Air Quality (Human health risk and impact assessment),Human health risk and impact assessment,2,1,2,2,3,4,4,2.5714285714
"Human information processing, skill and performance SR[865]",CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,"Human information processing, skill and performance",2,2,1,2,0,0,0,1.75
Mechanical & Material Testing & Characterisation [SR3026],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Developing,Well resourced,Under resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Mechanical & Material Testing & Characterisation),Mechanical & Material Testing & Characterisation,3,4,2,3,3,2,0,2.8333333333
Organisational and social aspects of system design SR[867],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Organisational and social aspects of system design,1,2,1,2,1,0,0,1.4
"Test, Measurement and Evaluation (TM&E) [SR3027]",CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Developing,Unbalanced,Not resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,"Analysis and V&V (Test, Measurement and Evaluation (TM&E))","Test, Measurement and Evaluation (TM&E)",3,1,1,3,3,2,0,2.1666666667
"Vision, light and lighting SR[868]",CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,"Vision, light and lighting",2,2,1,2,1,0,0,1.6
Work capacity and fatigue SR[869],CSIR,IMPLEMENTATION UNIT,Mining Initiatives (MI),Mining Initiatives (MI),RBERGH,RGL,Emerging,Emerging,Not resourced,Informal approach,Under resourced,Old,Not applicable,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Work capacity and fatigue,2,2,1,2,1,1,0,1.5
"Biodiversity, Tourism & Conservation SR[785]",CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Developing,Developing,Sufficiently resourced,Not applicable,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,"Environmental Management Services (Biodiversity, Tourism & Conservation)","Biodiversity, Tourism & Conservation",3,3,3,0,0,0,0,3
Ecological infrastructure assessment SR[786],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Developing,Developing,Sufficiently resourced,Not applicable,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Ecological infrastructure assessment),Ecological infrastructure assessment,3,3,3,0,0,0,0,3
Environmental economics and sustainability science SR[787],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Developing,Emerging,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental economics and sustainability science),Environmental economics and sustainability science,3,2,3,3,0,0,0,2.75
Environmental Impact Assessment (EIA) and Basic Assessment (BA) SR[788],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Impact Assessment (EIA) and Basic Assessment (BA)),Environmental Impact Assessment (EIA) and Basic Assessment (BA),4,4,4,3,0,0,0,3.75
Environmental impact assessment of mining methods SR[807],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Developing,Unbalanced,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Mining Techologies and Services,Mining Techologies and Services (Environmental impact assessment of mining methods),Environmental impact assessment of mining methods,3,1,2,3,0,0,0,2.25
Environmental Impact Management SR[789],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Impact Management),Environmental Impact Management,4,4,4,3,0,0,0,3.75
Environmental Management Plans SR[790],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Management Plans),Environmental Management Plans,4,4,4,4,0,0,0,4
Environmental Management Programme (EMP) SR[791],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Management Programme (EMP)),Environmental Management Programme (EMP),4,4,3,4,0,0,0,3.75
Environmental Screening (fatal flaw analysis) SR[792],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Screening (fatal flaw analysis)),Environmental Screening (fatal flaw analysis),4,4,3,4,0,0,0,3.75
Industry & Infrastructure (incl. ports) SR[793],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Industry & Infrastructure (incl. ports)),Industry & Infrastructure (incl. ports),4,4,3,3,0,0,0,3.5
Integrated waste management SR[794],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Developing,Developing,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Integrated waste management),Integrated waste management,3,3,2,3,0,0,0,2.75
Oil & gas SR[795],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Subcritical,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Oil & gas),Oil & gas,1,4,3,3,3,0,0,2.8
Oil Spill Response Planning SR[796],CSIR,IMPLEMENTATION UNIT,Specialist Services (SpS),EMS Environmental Management Services,PLOCHNER,RGL,Subcritical,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Oil Spill Response Planning),Oil Spill Response Planning,1,4,3,3,3,0,0,2.8
