survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Design for Certification / Compliance SR[918],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,New requirement,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,3,1,3,2,3,3,4,2.7142857143
Design for Environment (Sustainability) SR[919],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Environment (Sustainability)),Design for Environment (Sustainability),3,3,2,2,1,2,4,2.4285714286
Design for Manufacturability SR[920],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Manufacturability),Design for Manufacturability,4,1,3,2,1,2,4,2.4285714286
Design for Reliability SR[921],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Reliability),Design for Reliability,2,2,2,2,1,3,4,2.2857142857
Design for Safety SR[922],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Safety),Design for Safety,4,1,3,3,1,2,4,2.5714285714
Design for Test SR[923],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Test),Design for Test,2,2,2,2,1,2,4,2.1428571429
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[924]",CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,1,3,2,1,2,4,2.2857142857
Energy Management Systems SR[926],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Energy Management Systems),Energy Management Systems,2,2,2,2,1,3,3,2.1428571429
Industrial Cyber Security SR[929],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Cyber Security),Industrial Cyber Security,1,2,2,2,1,3,3,2
Industrial Internet of Things SR[930],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,3,1,3,2,1,4,3,2.4285714286
mining seismology SR[932],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Developing,Under resourced,Informal approach,Sufficiently resourced,Needs upgrade,Controlled,Environment and Natural Resources,geotechnical engineering,geotechnical engineering (mining seismology),mining seismology,3,3,2,2,3,2,3,2.5714285714
Mining SR[927],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Mining),Mining,3,3,2,2,1,3,3,2.4285714286
Prototyping or Pilot Plant Scale-up SR[931],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Prototyping or Pilot Plant Scale-up),Prototyping or Pilot Plant Scale-up,4,1,3,2,1,2,4,2.4285714286
Real Time Information Management Systems SR[917],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,3,1,2,2,1,3,3,2.1428571429
Requirements management SR[916],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Subcritical,Not applicable,Not resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,1,0,1,2,0,0,0,1.3333333333
Situational Awareness SR[933],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,2,2,2,2,1,3,3,2.1428571429
System design SR[925],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,3,1,3,2,1,2,4,2.2857142857
Water management SR[934],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Environment and Natural Resources,Service,Service (Water management),Water management,2,2,2,2,1,3,3,2.1428571429
Data analysis SR[588],CSIR,MERAKA,Smart Systems,Human Language Technologies,KCALTEAUX,RGL,Emerging,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,2,1,3,3,0,0,0,2.25
Speech Technologies SR[589],CSIR,MERAKA,Smart Systems,Human Language Technologies,KCALTEAUX,RGL,Emerging,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Human Language Technologies,Human Language Technologies (Speech Technologies),Speech Technologies,2,1,3,3,0,0,0,2.25
Text to Speech Technologies SR[590],CSIR,MERAKA,Smart Systems,Human Language Technologies,KCALTEAUX,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Human Language Technologies,Human Language Technologies (Text to Speech Technologies),Text to Speech Technologies,3,1,3,4,0,0,0,2.75
Business intelligence SR[840],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Business intelligence),Business intelligence,1,2,1,2,1,0,0,1.4
Business process modeling and analysis SR[841],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Emerging,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Business process modeling and analysis),Business process modeling and analysis,4,2,2,3,0,0,0,2.75
Concept development SR[830],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Developing,Emerging,Under resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,2,2,4,0,0,0,2.75
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[835]",CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,2,2,2,0,0,0,2.5
Engineering innovation SR[842],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Emerging,Emerging,Not applicable,Informal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,2,2,0,2,1,0,0,1.75
Feasibility SR[831],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Developing,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,3,2,0,2,0,0,0,2.3333333333
Function analysis SR[832],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Developing,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,3,2,2,2,0,0,0,2.25
Information system analysis and design SR[837],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,Information system analysis and design,4,1,2,4,0,0,0,2.75
Interoperability Technology SR[838],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Subcritical,Emerging,Under resourced,Not applicable,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,1,2,2,0,0,0,0,1.6666666667
Knowledge communication SR[843],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge communication),Knowledge communication,2,3,2,2,1,0,0,2
Knowledge management SR[844],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Subcritical,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge management),Knowledge management,1,0,0,0,0,0,0,1
Modelling and Simulation SR[829],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Emerging,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,2,2,2,2,0,0,0,2
"Modelling, Simulation and Gaming SR[839]",CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Emerging,Emerging,Not resourced,Not applicable,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",2,2,1,0,1,0,0,1.5
Requirements management SR[833],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Developing,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,3,2,3,0,0,0,3
System design SR[836],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,4,2,2,2,0,0,0,2.5
Systems engineering (SE) - Model-based SR[834],CSIR,MERAKA,Smart Systems,Int Sys Analysis and Sys Engin,RALBERTS,RGL,Mature,Emerging,Under resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,4,2,2,4,0,0,0,3
Cyber-Physical Systems SR[667],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Developing,Not applicable,Under resourced,Not applicable,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber-Physical Systems),Cyber-Physical Systems,3,0,2,0,1,3,0,2.25
Cyber Manufacturing SR[666],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Not applicable,Emerging,Not applicable,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber Manufacturing),Cyber Manufacturing,0,2,0,2,1,3,0,2
Industrial Internet of Things SR[668],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Internet of Things),Industrial Internet of Things,2,1,2,2,1,3,0,1.8333333333
Industrie 4.0 SR[664],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Not applicable,Not applicable,Not applicable,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Industrie 4.0),Industrie 4.0,0,0,0,2,1,3,0,2
IoT software and solutions - Information of everything SR[670],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,IoT,IoT (IoT software and solutions - Information of everything),IoT software and solutions - Information of everything,2,2,2,2,1,0,0,1.8
IoT software and solutions - Internet of things SR[671],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,IoT,IoT (IoT software and solutions - Internet of things),IoT software and solutions - Internet of things,3,1,2,4,3,4,0,2.8333333333
Smart home SR[669],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Not applicable,Old,Not applicable,Modern and Emerging Technologies,Informatics,Informatics (Smart home),Smart home,3,1,2,4,0,1,0,2.2
Smart manufacturing SR[665],CSIR,MERAKA,Smart Systems,Internet of Things,LCOETZE1,RGL,Subcritical,Emerging,Not applicable,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Smart manufacturing),Smart manufacturing,1,2,0,2,1,3,0,1.8
Network Automation SR[2430],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Networks,Networks (Network Automation),Network Automation,3,2,2,2,1,3,3,2.2857142857
Network Function Virtualisation SR[2428],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Networks,Networks (Network Function Virtualisation),Network Function Virtualisation,3,2,2,2,1,3,3,2.2857142857
Network Programmability SR[2429],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Networks,Networks (Network Programmability),Network Programmability,3,2,2,2,1,3,3,2.2857142857
Prototyping or Pilot Plant Scale-up SR[902],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Prototyping or Pilot Plant Scale-up),Prototyping or Pilot Plant Scale-up,3,3,3,3,1,2,3,2.5714285714
Real-Time Networking SR[2431],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Networks,Networks (Real-Time Networking),Real-Time Networking,3,2,2,2,1,3,3,2.2857142857
Sofware Defined Networking SR[2427],CSIR,MERAKA,Telecommunications & Media,Adv Network Architectures Sys,SDLAMINI1,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Networks,Networks (Sofware Defined Networking),Sofware Defined Networking,3,2,2,2,1,3,3,2.2857142857
Design for Electromagnetic Interference & Compatibility (EMI & EMC) SR[703],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Electromagnetic Interference & Compatibility (EMI & EMC)),Design for Electromagnetic Interference & Compatibility (EMI & EMC),4,4,4,4,3,3,3,3.5714285714
Digital Signals and Image Processing SR[704],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Unbalanced,Under resourced,Formal approach,Sufficiently resourced,Not applicable,Controlled,Modern and Emerging Technologies,Informatics,Informatics (Digital Signals and Image Processing),Digital Signals and Image Processing,4,1,2,3,3,0,3,2.6666666667
Information system analysis and design SR[705],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,New requirement,Not applicable,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,Information system analysis and design,4,4,4,3,0,3,0,3.6
IoT software and solutions - Internet of things SR[707],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Working condition,Not applicable,Modern and Emerging Technologies,IoT,IoT (IoT software and solutions - Internet of things),IoT software and solutions - Internet of things,4,1,3,4,0,4,0,3.2
"Planning, generating, distributing, analysing and using data to facilitate decision making and communication SR[706]",CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,"Planning, generating, distributing, analysing and using data to facilitate decision making and communication",4,4,3,3,0,0,3,3.4
Requirements management SR[701],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,4,4,4,0,0,0,4
Systems engineering (SE) - Model-based SR[702],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,2,1,2,4,0,0,0,2.25
Water management SR[708],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Well resourced,New requirement,Freely available,Environment and Natural Resources,Service,Service (Water management),Water management,4,4,4,4,4,3,4,3.8571428571
Wireless Communication Systems SR[2401],CSIR,MERAKA,Telecommunications & Media,Future Wireless Networks,MMASONTA,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Not applicable,Freely available,Modern and Emerging Technologies,Telecommunications and Media,Telecommunications and Media (Wireless Communication Systems),Wireless Communication Systems,4,4,3,4,0,0,4,3.8
Concept development SR[591],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,1,0,3,0,0,0,2.6666666667
Design for Ergonomics/ Human Factors SR[597],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Emerging,Emerging,Sufficiently resourced,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Ergonomics/ Human Factors),Design for Ergonomics/ Human Factors,2,2,3,2,0,0,0,2.25
Design for Maintainability SR[598],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,1,1,0,0,0,0,0,1
Design for Reliability SR[599],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Reliability),Design for Reliability,1,1,3,3,3,0,0,2.2
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[600]",CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,1,3,3,3,4,4,3.1428571429
Feasibility SR[592],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,1,1,0,2,0,0,0,1.3333333333
Function analysis SR[593],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,1,1,0,3,0,0,0,1.6666666667
Requirements management SR[594],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,1,0,2,0,0,0,2.3333333333
Systems engineering (SE) - Model-based SR[595],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,1,1,2,2,3,0,4,2.1666666667
Through-life Support SR[601],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Emerging,Not resourced,Informal approach,Not applicable,Not applicable,Freely available,Product and Process Design & Development,Service and Operation Support Phase,Service and Operation Support Phase (Through-life Support),Through-life Support,1,2,1,2,0,0,4,2
Trade-off analysis SR[596],CSIR,MERAKA,Telecommunications & Media,Media Technologies,KFERGUSON,RGL,Subcritical,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Trade-off analysis),Trade-off analysis,1,1,0,2,0,0,0,1.3333333333
